"Method","Path","Permission","File"
"GET","/api/addresses","","AddressController"
"POST","/api/addresses","address.read","AddressController"
"DELETE","/api/addresses/{id}","address.update","AddressController"
"GET","/api/addresses/{id}","address.read","AddressController"
"PUT","/api/addresses/{id}","address.create","AddressController"
"GET","/api/addresses/search","address.read","AddressController"
"GET","/api/addresses/search/area","address.delete","AddressController"
"GET","/api/addresses/search/district","address.read","AddressController"
"GET","/api/addresses/search/landmark","address.read","AddressController"
"GET","/api/addresses/search/place","address.read","AddressController"
"GET","/api/addresses/search/region","address.read","AddressController"
"GET","/api/addresses/search/subregion","address.read","AddressController"
"GET","/api/addresses/search/zipcode","address.read","AddressController"
"POST","/api/auth","","AuthController"
"POST","/api/auth/change-password","","AuthController"
"POST","/api/auth/forgot-password","","AuthController"
"POST","/api/auth/login","","AuthController"
"POST","/api/auth/logout","","AuthController"
"POST","/api/auth/register","","AuthController"
"POST","/api/auth/reset-password","","AuthController"
"POST","/api/auth/revoke-all-refresh-tokens/{username}","","AuthController"
"POST","/api/auth/validate","user.permissions","AuthController"
"GET","/api/booking-details","","BookingDetailsController"
"POST","/api/booking-details","booking.read","BookingDetailsController"
"DELETE","/api/booking-details/{id}","booking.update","BookingDetailsController"
"GET","/api/booking-details/{id}","booking.read","BookingDetailsController"
"PUT","/api/booking-details/{id}","booking.create","BookingDetailsController"
"POST","/api/booking-details/{id}/status","booking.update","BookingDetailsController"
"GET","/api/booking-details/customer/{customerId}","booking.read","BookingDetailsController"
"GET","/api/booking-details/staff/{staffId}","booking.read","BookingDetailsController"
"GET","/api/booking-details/store/{storeId}","booking.read","BookingDetailsController"
"GET","/api/booking-details/store/{storeId}/date-range","booking.read","BookingDetailsController"
"GET","/api/booking-details/store/{storeId}/status/{status}","booking.read","BookingDetailsController"
"GET","/api/brands","","BrandController"
"POST","/api/brands","brand.read","BrandController"
"DELETE","/api/brands/{id}","brand.update","BrandController"
"GET","/api/brands/{id}","brand.read","BrandController"
"PUT","/api/brands/{id}","brand.create","BrandController"
"GET","/api/business","","BusinessEntityController"
"POST","/api/business","business.read","BusinessEntityController"
"GET","/api/business/{id}","business.update","BusinessEntityController"
"PUT","/api/business/{id}","business.create","BusinessEntityController"
"GET","/api/business/list","business.read","BusinessEntityController"
"POST","/api/business/search","business.read","BusinessEntityController"
"POST","/api/business/update-status","business.update","BusinessEntityController"
"POST","/api/business-product","product.read","BusinessProductController"
"DELETE","/api/business-product/{productId}","product.read","BusinessProductController"
"GET","/api/business-product/{productId}","","BusinessProductController"
"PUT","/api/business-product/{productId}","product.create","BusinessProductController"
"POST","/api/business-product/add-all","product.update","BusinessProductController"
"POST","/api/business-product/add-all1","product.create","BusinessProductController"
"GET","/api/business-product/list","product.delete","BusinessProductController"
"GET","/api/business-product/listByBusinessType/{businessTypeId}","product.read","BusinessProductController"
"POST","/api/business-product/search","product.read","BusinessProductController"
"POST","/api/business-product/search-by-business-type","product.read","BusinessProductController"
"POST","/api/business-service","service.read","BusinessServiceController"
"PUT","/api/business-service/{id}","service.create","BusinessServiceController"
"GET","/api/business-service/{serviceId}","","BusinessServiceController"
"POST","/api/business-service/add-all","service.create","BusinessServiceController"
"POST","/api/business-service/add-all1","service.create","BusinessServiceController"
"POST","/api/business-service/add-all2","service.update","BusinessServiceController"
"GET","/api/business-service/list","service.read","BusinessServiceController"
"GET","/api/business-service/listByBusinessType/{businessTypeId}","service.read","BusinessServiceController"
"POST","/api/business-service/search","service.read","BusinessServiceController"
"POST","/api/business-service/search-by-business-type","service.read","BusinessServiceController"
"DELETE","/api/business-type/{id}","business.read","BusinessTypeController"
"POST","/api/business-type/add","business.read","BusinessTypeController"
"POST","/api/business-type/add-all","business.update","BusinessTypeController"
"GET","/api/business-type/details/{id}","business.create","BusinessTypeController"
"GET","/api/business-type/list","","BusinessTypeController"
"GET","/api/business-type/search","business.read","BusinessTypeController"
"PUT","/api/business-type/update/{id}","business.create","BusinessTypeController"
"DELETE","/api/categories/{id}","category.read","CategoryController"
"GET","/api/categories/{id}/path","category.read","CategoryController"
"POST","/api/categories/add","category.read","CategoryController"
"GET","/api/categories/list","","CategoryController"
"GET","/api/categories/search","category.update","CategoryController"
"GET","/api/categories/tree","category.read","CategoryController"
"PUT","/api/categories/update/{id}","category.create","CategoryController"
"GET","/api/customers","","CustomerController"
"POST","/api/customers","customer.read","CustomerController"
"DELETE","/api/customers/{id}","customer.update","CustomerController"
"GET","/api/customers/{id}","customer.read","CustomerController"
"PUT","/api/customers/{id}","customer.create","CustomerController"
"POST","/api/customers/{id}/loyalty-points","customer.delete","CustomerController"
"GET","/api/customers/business/{businessId}","customer.read","CustomerController"
"GET","/api/customers/store/{storeId}","customer.read","CustomerController"
"GET","/api/delivery-info","","DeliveryInfoController"
"POST","/api/delivery-info","order.read","DeliveryInfoController"
"DELETE","/api/delivery-info/{id}","order.update","DeliveryInfoController"
"GET","/api/delivery-info/{id}","order.read","DeliveryInfoController"
"PUT","/api/delivery-info/{id}","order.create","DeliveryInfoController"
"GET","/api/employees","","EmployeeController"
"POST","/api/employees","user.read","EmployeeController"
"DELETE","/api/employees/{id}","user.update","EmployeeController"
"PUT","/api/employees/{id}","user.create","EmployeeController"
"GET","/api/employees/business/{businessId}","user.read","EmployeeController"
"GET","/api/employees/store/{storeId}","user.read","EmployeeController"
"DELETE","/api/files","file.upload","FileUploadController"
"POST","/api/files/upload","","FileUploadController"
"POST","/api/files/upload-multiple","file.upload","FileUploadController"
"GET","/api/invoices","invoice.read","InvoiceController"
"GET","/api/invoices/{id}","invoice.read","InvoiceController"
"POST","/api/invoices/{id}/email","invoice.read","InvoiceController"
"GET","/api/invoices/{id}/pdf","invoice.read","InvoiceController"
"POST","/api/invoices/generate","","InvoiceController"
"GET","/api/invoices/order/{orderId}","invoice.create","InvoiceController"
"GET","/api/invoices/store/{storeId}","invoice.read","InvoiceController"
"GET","/api/me/context","","MeContextController"
"GET","/api/navigation-config","","NavigationController"
"GET","/api/order-items","","OrderItemController"
"POST","/api/order-items","order.read","OrderItemController"
"DELETE","/api/order-items/{id}","order.update","OrderItemController"
"GET","/api/order-items/{id}","order.read","OrderItemController"
"PUT","/api/order-items/{id}","order.create","OrderItemController"
"GET","/api/orders","","OrderController"
"GET","/api/orders/{id}","order.read","OrderController"
"POST","/api/orders/{id}/cancel","order.update","OrderController"
"POST","/api/orders/{id}/complete","order.update","OrderController"
"POST","/api/orders/{id}/status","order.update","OrderController"
"GET","/api/orders/customer/{customerId}","order.read","OrderController"
"POST","/api/orders/new","order.read","OrderController"
"GET","/api/orders/store/{storeId}","order.read","OrderController"
"PUT","/api/orders/update/{id}","order.create","OrderController"
"GET","/api/payment-info","","PaymentInfoController"
"POST","/api/payment-info","","PaymentInfoController"
"DELETE","/api/payment-info/{id}","","PaymentInfoController"
"GET","/api/payment-info/{id}","","PaymentInfoController"
"PUT","/api/payment-info/{id}","","PaymentInfoController"
"POST","/api/payments/{providerPaymentId}/confirm","payment.read","PaymentController"
"POST","/api/payments/{providerPaymentId}/refund","payment.create","PaymentController"
"POST","/api/payments/initiate","","PaymentController"
"GET","/api/payments/status/{providerPaymentId}","payment.create","PaymentController"
"POST","/api/payments/webhook/razorpay","","WebhookController"
"POST","/api/payments/webhook/stripe","","WebhookController"
"GET","/api/permissions","","PermissionController"
"POST","/api/permissions","user.permissions","PermissionController"
"DELETE","/api/permissions/{id}","user.permissions","PermissionController"
"GET","/api/permissions/current-user","","PermissionDemoController"
"POST","/api/permissions/simulate/scenario","user.permissions","PermissionDemoController"
"GET","/api/permissions/test/admin-access","user.delete","PermissionDemoController"
"GET","/api/permissions/test/create-user","user.read","PermissionDemoController"
"GET","/api/permissions/test/custom-annotation","system.settings","PermissionDemoController"
"GET","/api/permissions/test/delete-user","user.create","PermissionDemoController"
"GET","/api/permissions/test/hierarchy-demo/{permission}","user.read","PermissionDemoController"
"GET","/api/permissions/test/multiple-authorities","user.read","PermissionDemoController"
"POST","/api/product-lots","","ProductLotController"
"DELETE","/api/product-lots/{id}","inventory.update","ProductLotController"
"GET","/api/product-lots/{id}","inventory.create","ProductLotController"
"PUT","/api/product-lots/{id}","inventory.read","ProductLotController"
"POST","/api/product-lots/{lotId}/transaction","inventory.delete","ProductLotController"
"GET","/api/product-lots/{lotId}/transactions","inventory.update","ProductLotController"
"GET","/api/product-lots/all/{storeProductId}","inventory.read","ProductLotController"
"GET","/api/roles","","RoleController"
"POST","/api/roles","user.permissions","RoleController"
"DELETE","/api/roles/{id}","user.permissions","RoleController"
"GET","/api/roles/{roleId}/permissions","user.permissions","RoleController"
"POST","/api/roles/{roleId}/permissions","user.permissions","RoleController"
"POST","/api/roles/{roleId}/permissions/delete","user.permissions","RoleController"
"GET","/api/store-inventory/{storeId}","","StoreInventoryController"
"POST","/api/store-inventory/{storeId}/{productId}/add","inventory.read","StoreInventoryController"
"POST","/api/store-inventory/{storeId}/{productId}/sell","inventory.create","StoreInventoryController"
"GET","/api/store-inventory/{storeId}/low-stock","inventory.read","StoreInventoryController"
"POST","/api/store-offered-packages","package.read","StoreOfferedPackageController"
"DELETE","/api/store-offered-packages/{id}","package.update","StoreOfferedPackageController"
"GET","/api/store-offered-packages/{id}","package.read","StoreOfferedPackageController"
"PUT","/api/store-offered-packages/{id}","package.create","StoreOfferedPackageController"
"GET","/api/store-offered-packages/store/{storeId}","","StoreOfferedPackageController"
"GET","/api/store-product","","StoreOfferedProductController"
"GET","/api/store-product/{productId}","store_product.read","StoreOfferedProductController"
"POST","/api/store-product/add-all","store_product.create","StoreOfferedProductController"
